,wins,losses,goals,total_yel_card,total_red_card,total_scoring_att,ontarget_scoring_att,att_hd_goal,att_pen_goal,att_ibox_goal,total_offside,clean_sheet,goals_conceded,saves,outfielder_block,interception,total_tackle,total_clearance,head_clearance,own_goals,penalty_conceded,pen_goals_conceded,total_pass,total_long_balls,backward_pass,total_cross,corner_taken,touches,dispossessed,total_high_claim,punches
Middlesbrough,12.0,17.0,35.0,53.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Southampton,12.0,17.0,46.0,36.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Everton,11.0,17.0,45.0,57.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charlton Athletic,10.0,14.0,38.0,63.0,3.0,3.0,3.0,1.0,0.0,4.0,0.0,12.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
Fulham,10.0,14.0,36.0,55.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,15.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Sunderland,10.0,18.0,29.0,68.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bolton Wanderers,9.0,16.0,44.0,58.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ipswich Town,9.0,20.0,41.0,44.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,8.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Derby County,8.0,24.0,33.0,73.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leicester City,5.0,20.0,30.0,76.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
